Country Code,Country Name,Year,Capital Health Expenditure
GRC,Greece,2018,0.17398532
GRC,Greece,2019,0.18765306
GRD,Grenada,2017,0.30077618
GRD,Grenada,2018,0.17195028
GRD,Grenada,2019,0.24716707
GRD,Grenada,2020,0.24636412
GTM,Guatemala,2017,0.06498658
GTM,Guatemala,2018,0.10343788
GTM,Guatemala,2019,0.12013495
GTM,Guatemala,2020,0.12326115
GIN,Guinea,2017,0.28192675
GIN,Guinea,2018,0.24960864
GIN,Guinea,2019,0.18798488
GNB,Guinea-Bissau,2017,0.17551759
GUY,Guyana,2017,0.23711008
GUY,Guyana,2018,0.23649916
GUY,Guyana,2019,0.27025029
GUY,Guyana,2020,0.36497116
HTI,Haiti,2017,0.09705565
HTI,Haiti,2018,0.09930998
HTI,Haiti,2019,0.15208527
HTI,Haiti,2020,0.44952889
HND,Honduras,2017,0.13803047
HND,Honduras,2018,0.08132508
HND,Honduras,2019,0.06970394
HND,Honduras,2020,0.08871051
HND,Honduras,2021,0.05291061
HUN,Hungary,2017,0.15763752
HUN,Hungary,2018,0.1748254
HUN,Hungary,2019,0.25983542
HUN,Hungary,2020,0.40411061
ISL,Iceland,2017,0.23661408
ISL,Iceland,2018,0.36473116
ISL,Iceland,2019,0.30283612
ISL,Iceland,2020,0.28326222
IND,India,2017,0.37965727
IND,India,2018,0.29732746
IDN,Indonesia,2017,0.21494839
IDN,Indonesia,2018,0.19273698
IDN,Indonesia,2019,0.1916707
IDN,Indonesia,2020,0.14868148
IRQ,Iraq,2019,0.01325636
IRL,Ireland,2017,0.38471976
IRL,Ireland,2018,0.37938884
IRL,Ireland,2019,0.29559562
IRL,Ireland,2020,0.33021426
ISR,Israel,2018,0.24336965
JAM,Jamaica,2017,0.20040505
JAM,Jamaica,2018,0.10491358
JAM,Jamaica,2019,0.14401248
JAM,Jamaica,2020,0.16384427
KEN,Kenya,2017,0.56966931
KEN,Kenya,2018,0.52812511
KEN,Kenya,2019,0.49177325
KIR,Kiribati,2017,0.12327642
KIR,Kiribati,2018,0.12185647
KIR,Kiribati,2019,0.35333627
KIR,Kiribati,2020,0.17295635
KOR,"Korea, Rep.",2020,0.41635945
KWT,Kuwait,2017,0.56796497
KWT,Kuwait,2018,0.60614449
KWT,Kuwait,2019,0.43961766
KWT,Kuwait,2020,0.53813636
KGZ,Kyrgyz Republic,2017,0.20256713
KGZ,Kyrgyz Republic,2018,0.27573386
KGZ,Kyrgyz Republic,2019,0.34175575
LAO,Lao PDR,2017,0.19914828
LAO,Lao PDR,2018,0.40121612
LAO,Lao PDR,2019,0.11953712
LSO,Lesotho,2017,0.25892186
LBR,Liberia,2017,0.00752766
LBR,Liberia,2019,0.26888984
MWI,Malawi,2017,0.36429116
MWI,Malawi,2018,0.4188616
MYS,Malaysia,2017,0.1416183
MYS,Malaysia,2018,0.15591599
MYS,Malaysia,2019,0.17471758
MYS,Malaysia,2020,0.35155252
MDV,Maldives,2017,1.99034894
MDV,Maldives,2018,1.47087836
MDV,Maldives,2019,1.33045006
MDV,Maldives,2020,1.91248763
MLI,Mali,2017,0.18864344
MLI,Mali,2018,0.04446506
MLT,Malta,2017,0.18261051
MLT,Malta,2018,0.24581198
MLT,Malta,2019,0.19694456
MLT,Malta,2020,0.23597118
MHL,Marshall Islands,2017,0.24351934
MHL,Marshall Islands,2018,0.24774864
MHL,Marshall Islands,2019,0.10614072
