Country Code,Country Name,Year,Cases,GDP,Population,Cases (per million people)
BRA,Brazil,2022,3648,1920000000000.0,215313498,17
BRB,Barbados,2017,13,4981588900.0,279187,47
BRB,Barbados,2018,27,5097283200.0,279688,97
BRB,Barbados,2019,42,5324250000.0,280180,150
BRB,Barbados,2020,23,4671800000.0,280693,82
BRB,Barbados,2021,0,4843800000.0,281200,0
BRB,Barbados,2022,0,5637914515.0,281635,0
BTN,Bhutan,2017,444,2450366108.0,756121,587
BTN,Bhutan,2018,364,2446867582.0,762096,478
BTN,Bhutan,2019,679,2535655609.0,767459,885
BTN,Bhutan,2020,104,2325185521.0,772506,135
BTN,Bhutan,2021,57,2539551327.0,777486,73
CAF,Central African Republic,2017,109,2072349974.0,4996741,22
CAF,Central African Republic,2018,177,2220979145.0,5094780,35
CAF,Central African Republic,2019,86,2221301351.0,5209324,17
CAF,Central African Republic,2020,1,2326720902.0,5343020,0
CAF,Central African Republic,2022,37,2382618615.0,5579144,7
CAN,Canada,2017,44404,1650000000000.0,36545236,1215
CAN,Canada,2018,66482,1730000000000.0,37065084,1794
CAN,Canada,2019,43196,1740000000000.0,37601230,1149
CAN,Canada,2020,44956,1650000000000.0,38007166,1183
CAN,Canada,2021,337,2000000000000.0,38226498,9
CAN,Canada,2022,71314,2140000000000.0,38929902,1832
CHE,Switzerland,2017,9842,695000000000.0,8451840,1164
CHE,Switzerland,2018,11918,726000000000.0,8514329,1400
CHE,Switzerland,2019,14096,721000000000.0,8575280,1644
CHE,Switzerland,2020,10081,740000000000.0,8638167,1167
CHE,Switzerland,2021,473,801000000000.0,8703405,54
CHE,Switzerland,2022,23514,808000000000.0,8769741,2681
CHL,Chile,2017,3610,276000000000.0,18368577,197
CHL,Chile,2018,3697,295000000000.0,18701450,198
CHL,Chile,2019,6539,278000000000.0,19039485,343
CHL,Chile,2020,272,254000000000.0,19300315,14
CHL,Chile,2021,77,317000000000.0,19493184,4
CHL,Chile,2022,13139,301000000000.0,19603733,670
CHN,China,2017,71429,12300000000000.0,1396215000,51
CHN,China,2018,57323,13900000000000.0,1402760000,41
CHN,China,2019,98542,14300000000000.0,1407745000,70
CHN,China,2020,25572,14700000000000.0,1411100000,18
CHN,China,2021,26100,17800000000000.0,1412360000,18
CHN,China,2022,56339,18000000000000.0,1412175000,40
CMR,Cameroon,2017,447,36098547059.0,24393181,18
CMR,Cameroon,2018,319,39973842059.0,25076747,13
CMR,Cameroon,2019,332,39670976440.0,25782341,13
CMR,Cameroon,2020,63,40773241212.0,26491087,2
CMR,Cameroon,2021,224,45338285386.0,27198628,8
CMR,Cameroon,2022,118,44341646509.0,27914536,4
COL,Colombia,2017,808,312000000000.0,48351671,17
COL,Colombia,2018,1425,334000000000.0,49276961,29
COL,Colombia,2019,1316,323000000000.0,50187406,26
COL,Colombia,2020,467,270000000000.0,50930662,9
COL,Colombia,2021,21,319000000000.0,51516562,0
COL,Colombia,2022,538,344000000000.0,51874024,10
CRI,Costa Rica,2017,591,60516044623.0,4993842,118
CRI,Costa Rica,2018,170,62420164965.0,5040734,34
CRI,Costa Rica,2019,505,64417670556.0,5084532,99
CRI,Costa Rica,2020,56,62395610764.0,5123105,11
CRI,Costa Rica,2021,0,64616482168.0,5153957,0
CRI,Costa Rica,2022,302,68380838316.0,5180829,58
CUB,Cuba,2017,145,96851000000.0,11336405,13
CUB,Cuba,2018,238,100000000000.0,11328244,21
CUB,Cuba,2019,463,103000000000.0,11316697,41
CUB,Cuba,2020,174,107000000000.0,11300698,15
CUB,Cuba,2021,0,545000000000.0,11256372,0
CYM,Cayman Islands,2017,2,5166281293.0,63581,31
CYM,Cayman Islands,2018,5,5530178499.0,64884,77
CYM,Cayman Islands,2020,13,5647224973.0,67311,193
CYM,Cayman Islands,2021,0,6028373541.0,68136,0
CYP,Cyprus,2017,151,22946583376.0,1208523,125
CYP,Cyprus,2018,150,25597301191.0,1218831,123
CYP,Cyprus,2019,628,25945194240.0,1228836,511
CZE,Czechia,2017,368,219000000000.0,10594438,35
CZE,Czechia,2018,575,249000000000.0,10629928,54
CZE,Czechia,2019,276,253000000000.0,10671870,26
CZE,Czechia,2020,295,246000000000.0,10697858,28
CZE,Czechia,2021,49,282000000000.0,10505772,5
CZE,Czechia,2022,2586,291000000000.0,10526073,246
DEU,Germany,2017,1478,3690000000000.0,82657002,18
DEU,Germany,2018,2334,3970000000000.0,82905782,28
DEU,Germany,2019,1215,3890000000000.0,83092962,15
DEU,Germany,2020,958,3890000000000.0,83160871,12
DEU,Germany,2021,29,4260000000000.0,83196078,0
DEU,Germany,2022,1923,4070000000000.0,84079811,23
DMA,Dominica,2017,0,521551851.9,70403,0
DMA,Dominica,2018,14,554770370.4,70823,198
DMA,Dominica,2019,4,611537037.0,71428,56
DMA,Dominica,2020,13,504214814.8,71995,181
DMA,Dominica,2021,0,555266666.7,72412,0
DMA,Dominica,2022,0,612048148.1,72737,0
DNK,Denmark,2017,4644,332000000000.0,5764980,806
DNK,Denmark,2018,17120,357000000000.0,5793636,2955
DNK,Denmark,2019,11835,346000000000.0,5814422,2035
DNK,Denmark,2020,6580,355000000000.0,5831404,1128
DNK,Denmark,2021,360,398000000000.0,5856733,61
DNK,Denmark,2022,21111,395000000000.0,5903037,3576
DOM,Dominican Republic,2017,63,79998045976.0,10647244,6
DOM,Dominican Republic,2018,203,85555390386.0,10765531,19
DOM,Dominican Republic,2019,90,88941371980.0,10881882,8
DOM,Dominican Republic,2020,75,78844655833.0,10999664,7
DOM,Dominican Republic,2021,28,94243426487.0,11117873,3
DOM,Dominican Republic,2022,130,114000000000.0,11228821,12
DZA,Algeria,2017,134,170000000000.0,41136546,3
DZA,Algeria,2018,310,175000000000.0,41927007,7
DZA,Algeria,2019,33,172000000000.0,42705368,1
DZA,Algeria,2020,134,146000000000.0,43451666,3
DZA,Algeria,2021,72,163000000000.0,44177969,2
DZA,Algeria,2022,165,192000000000.0,44903225,4
ECU,Ecuador,2017,505,104000000000.0,16696944,30
ECU,Ecuador,2018,778,108000000000.0,17015672,46
ECU,Ecuador,2019,615,108000000000.0,17343740,35
ECU,Ecuador,2020,82,99291124000.0,17588595,5
ECU,Ecuador,2021,17,106000000000.0,17797737,1
ECU,Ecuador,2022,478,115000000000.0,18001000,27
ESP,Spain,2017,12765,1310000000000.0,46593236,274
ESP,Spain,2018,19973,1420000000000.0,46797754,427
ESP,Spain,2019,17228,1390000000000.0,47134837,366
ESP,Spain,2020,8827,1280000000000.0,47365655,186
ESP,Spain,2021,2206,1430000000000.0,47415750,47
ESP,Spain,2022,18099,1400000000000.0,47615034,380
EST,Estonia,2017,1149,26924385103.0,1317384,872
EST,Estonia,2018,2719,30624720196.0,1321977,2057
EST,Estonia,2019,2233,31081901909.0,1326898,1683
EST,Estonia,2020,473,31370395573.0,1329522,356
EST,Estonia,2021,39,37191166152.0,1330932,29
EST,Estonia,2022,814,38100812959.0,1344768,605
ETH,Ethiopia,2017,117,81770886909.0,108197950,1
ETH,Ethiopia,2018,203,84269196152.0,111129438,2
ETH,Ethiopia,2019,214,95912607970.0,114120594,2
ETH,Ethiopia,2021,326,111000000000.0,120283026,3
ETH,Ethiopia,2022,649,127000000000.0,123379924,5
FIN,Finland,2017,138,256000000000.0,5508214,25
FIN,Finland,2018,268,276000000000.0,5515525,49
FIN,Finland,2019,196,269000000000.0,5521606,35
FIN,Finland,2020,69,272000000000.0,5529543,12
FIN,Finland,2021,29,296000000000.0,5541017,5
FIN,Finland,2022,280,281000000000.0,5556880,50
FJI,Fiji,2017,108,5353468388.0,919019,118
FJI,Fiji,2018,102,5581425891.0,918996,111
FJI,Fiji,2019,185,5481692622.0,918465,201
FJI,Fiji,2020,30,4477030180.0,920422,33
FJI,Fiji,2021,0,4296235428.0,924610,0
FJI,Fiji,2022,229,4943248200.0,929766,246
FRA,France,2017,15657,2600000000000.0,66918020,234
FRA,France,2018,21610,2790000000000.0,67158348,322
FRA,France,2019,25405,2730000000000.0,67388001,377
FRA,France,2020,16589,2640000000000.0,67571107,246
FRA,France,2021,3071,2960000000000.0,67749632,45
FRA,France,2022,40148,2780000000000.0,67935660,591
GAB,Gabon,2022,28,21071739228.0,2388992,12
GEO,Georgia,2017,78,16242647230.0,3728004,21
GEO,Georgia,2018,111,17596922470.0,3726549,30
GEO,Georgia,2019,189,17470436259.0,3720161,51
GEO,Georgia,2020,57,15842922533.0,3722716,15
GEO,Georgia,2021,12,18629365612.0,3708610,3
GEO,Georgia,2022,459,24605375420.0,3712502,124
GHA,Ghana,2017,469,60405920071.0,30222262,16
GHA,Ghana,2018,742,67298913752.0,30870641,24
GHA,Ghana,2019,1172,68337974419.0,31522290,37
GHA,Ghana,2020,60,70043095503.0,32180401,2
GHA,Ghana,2021,395,79156409410.0,32833031,12
GHA,Ghana,2022,1518,72838798788.0,33475870,45
GIN,Guinea,2018,63,11857030366.0,12554864,5
GIN,Guinea,2019,135,13442861497.0,12877539,10
GIN,Guinea,2020,26,14177835841.0,13205153,2
GIN,Guinea,2021,101,16091817842.0,13531906,7
GIN,Guinea,2022,40,21227749389.0,13859341,3
GRC,Greece,2017,756,200000000000.0,10754679,70
GRC,Greece,2018,434,212000000000.0,10732882,40
GRC,Greece,2019,822,205000000000.0,10721582,77
GRC,Greece,2020,602,189000000000.0,10698599,56
GRC,Greece,2021,0,215000000000.0,10641221,0
GRC,Greece,2022,221,219000000000.0,10566531,21
GRD,Grenada,2020,5,1043411111.0,123663,40
GRD,Grenada,2021,0,1122800000.0,124610,0
GRD,Grenada,2022,0,1256413185.0,125438,0
GTM,Guatemala,2017,228,71653756504.0,16087418,14
GTM,Guatemala,2018,322,73328369926.0,16346950,20
GTM,Guatemala,2019,313,77172313916.0,16604026,19
GTM,Guatemala,2020,122,77715183063.0,16858333,7
GTM,Guatemala,2021,10,86053079767.0,17109746,1
GTM,Guatemala,2022,277,95003333381.0,17357886,16
GUY,Guyana,2018,0,4787637006.0,785514,0
HND,Honduras,2017,62,23136248046.0,9626842,6
HND,Honduras,2018,322,24067750466.0,9792850,33
HND,Honduras,2019,275,25089937109.0,9958829,28
HND,Honduras,2020,81,23827859695.0,10121763,8
HND,Honduras,2021,58,28488721296.0,10278345,6
HND,Honduras,2022,206,31717700115.0,10432860,20
HRV,Croatia,2017,1796,55937483558.0,4124531,435
HRV,Croatia,2018,2597,61330483610.0,4087843,635
HRV,Croatia,2019,4823,61329267533.0,4065253,1186
HRV,Croatia,2020,282,57624938982.0,4047680,70
HRV,Croatia,2021,193,68843674641.0,3879000,50
HRV,Croatia,2022,3023,70964606465.0,3854000,784
HTI,Haiti,2017,111,15093357143.0,10863543,10
HTI,Haiti,2018,340,16403864521.0,11012421,31
HTI,Haiti,2019,358,15016090930.0,11160438,32
HTI,Haiti,2020,94,14508222518.0,11306801,8
HTI,Haiti,2021,174,20877414952.0,11447569,15
HTI,Haiti,2022,301,20253551885.0,11584996,26
HUN,Hungary,2017,903,143000000000.0,9787966,92
HUN,Hungary,2018,622,161000000000.0,9775564,64
HUN,Hungary,2019,555,164000000000.0,9771141,57
HUN,Hungary,2020,1064,157000000000.0,9750149,109
HUN,Hungary,2021,3,182000000000.0,9709891,0
HUN,Hungary,2022,856,179000000000.0,9683505,88
IDN,Indonesia,2017,1045,1020000000000.0,264498852,4
IDN,Indonesia,2018,710,1040000000000.0,267066843,3
IDN,Indonesia,2019,496,1120000000000.0,269582878,2
IDN,Indonesia,2020,826,1060000000000.0,271857970,3
IDN,Indonesia,2021,47,1190000000000.0,273753191,0
IDN,Indonesia,2022,245,1320000000000.0,275501339,1
IND,India,2017,2587,2650000000000.0,1354195680,2
IND,India,2018,1880,2700000000000.0,1369003306,1
IND,India,2019,10428,2840000000000.0,1383112050,8
IND,India,2020,655,2670000000000.0,1396387127,0
IND,India,2021,4789,3150000000000.0,1407563842,3
IND,India,2022,1421,3390000000000.0,1417173173,1
IRL,Ireland,2017,1779,336000000000.0,4807388,370
IRL,Ireland,2018,4984,386000000000.0,4867316,1024
IRL,Ireland,2019,4201,399000000000.0,4934340,851
IRL,Ireland,2020,1363,426000000000.0,4985382,273
IRL,Ireland,2021,17,504000000000.0,5033165,3
IRL,Ireland,2022,1774,529000000000.0,5086988,349
IRQ,Iraq,2017,40,187000000000.0,39621162,1
IRQ,Iraq,2018,293,227000000000.0,40590700,7
IRQ,Iraq,2019,400,234000000000.0,41563520,10
IRQ,Iraq,2020,305,181000000000.0,42556984,7
IRQ,Iraq,2021,98,208000000000.0,43533592,2
IRQ,Iraq,2022,496,264000000000.0,44496122,11
ISL,Iceland,2017,654,24728285177.0,343400,1904
ISL,Iceland,2018,598,26260850582.0,352721,1695
ISL,Iceland,2019,388,24663643102.0,360563,1076
ISL,Iceland,2020,364,21553080484.0,366463,993
ISL,Iceland,2021,4,25552639899.0,372520,11
ISL,Iceland,2022,1171,27841648044.0,381900,3066
ISR,Israel,2017,1145,358000000000.0,8713300,131
ISR,Israel,2018,1602,377000000000.0,8882800,180
ISR,Israel,2019,1796,402000000000.0,9054000,198
ISR,Israel,2020,1424,413000000000.0,9215100,155
ISR,Israel,2021,456,489000000000.0,9364700,49
ISR,Israel,2022,774,522000000000.0,9550600,81
ITA,Italy,2017,2796,1960000000000.0,60536709,46
ITA,Italy,2018,4913,2090000000000.0,60421760,81
ITA,Italy,2019,6361,2010000000000.0,59729081,106
ITA,Italy,2020,7485,1900000000000.0,59438851,126
ITA,Italy,2021,31,2110000000000.0,59109668,1
ITA,Italy,2022,5817,2010000000000.0,58856847,99
JAM,Jamaica,2017,68,14808984881.0,2808376,24
JAM,Jamaica,2018,180,15730791526.0,2811835,64
JAM,Jamaica,2019,479,15830766372.0,2813773,170
JAM,Jamaica,2020,69,13812421859.0,2820436,24
JAM,Jamaica,2021,0,14657586359.0,2827695,0
JAM,Jamaica,2022,75,17097760745.0,2827377,27
JOR,Jordan,2017,252,41608435915.0,10215381,25
JOR,Jordan,2018,273,43370860704.0,10459865,26
JOR,Jordan,2019,366,44503005775.0,10698683,34
JOR,Jordan,2020,265,43579916197.0,10928721,24
JOR,Jordan,2021,42,45116317042.0,11148278,4
JOR,Jordan,2022,231,47451499859.0,11285869,20
JPN,Japan,2017,10344,4930000000000.0,126972000,81
JPN,Japan,2018,9076,5040000000000.0,126811000,72
JPN,Japan,2019,10343,5120000000000.0,126633000,82
JPN,Japan,2020,2915,5050000000000.0,126261000,23
JPN,Japan,2021,9,5010000000000.0,125681593,0
JPN,Japan,2022,262,4230000000000.0,125124989,2
KAZ,Kazakhstan,2017,829,167000000000.0,18037776,46
KAZ,Kazakhstan,2018,441,179000000000.0,18276452,24
KAZ,Kazakhstan,2019,525,182000000000.0,18513673,28
KAZ,Kazakhstan,2020,616,171000000000.0,18755666,33
KAZ,Kazakhstan,2021,105,197000000000.0,19000988,6
KAZ,Kazakhstan,2022,1275,221000000000.0,19621972,65
KEN,Kenya,2017,25,82036511259.0,48948137,1
KEN,Kenya,2018,216,92202979941.0,49953304,4
KEN,Kenya,2019,220,100000000000.0,50951450,4
KEN,Kenya,2020,71,101000000000.0,51985780,1
KEN,Kenya,2021,423,110000000000.0,53005614,8
KEN,Kenya,2022,439,113000000000.0,54027487,8
KHM,Cambodia,2017,226,22177200589.0,15830689,14
KHM,Cambodia,2018,234,24571753582.0,16025238,15
KHM,Cambodia,2019,312,27089390033.0,16207746,19
KHM,Cambodia,2020,176,25872797892.0,16396860,11
KHM,Cambodia,2021,0,26961061152.0,16589023,0
KHM,Cambodia,2022,412,29956769529.0,16767842,25
KWT,Kuwait,2017,4379,121000000000.0,4124904,1062
KWT,Kuwait,2018,1931,138000000000.0,4317185,447
KWT,Kuwait,2019,6601,136000000000.0,4441100,1486
KWT,Kuwait,2020,193,106000000000.0,4360444,44
LBN,Lebanon,2017,96,53027680686.0,6109252,16
LBN,Lebanon,2018,123,54901519156.0,5950839,21
LBN,Lebanon,2019,262,51605959131.0,5781907,45
LBN,Lebanon,2020,280,31712128254.0,5662923,49
LBN,Lebanon,2021,193,23131941557.0,5592631,35
LKA,Sri Lanka,2017,2361,94376237832.0,21506813,110
LKA,Sri Lanka,2018,947,94493871351.0,21670000,44
LKA,Sri Lanka,2019,1184,89014978319.0,21803000,54
LKA,Sri Lanka,2020,149,84440535699.0,21919000,7
LKA,Sri Lanka,2021,15,88496535599.0,22156000,1
LKA,Sri Lanka,2022,258,74403578363.0,22181000,12
LTU,Lithuania,2017,738,47758736932.0,2828403,261
LTU,Lithuania,2018,1007,53751411409.0,2801543,359
LTU,Lithuania,2019,1737,54760617013.0,2794137,622
LTU,Lithuania,2020,778,56914826861.0,2794885,278
LTU,Lithuania,2021,3,66414994992.0,2800839,1
LTU,Lithuania,2022,2077,70334299008.0,2833000,733
LUX,Luxembourg,2017,166,65712180343.0,596336,278
LUX,Luxembourg,2018,1038,71000359760.0,607950,1707
LUX,Luxembourg,2019,357,69825641851.0,620001,576
LUX,Luxembourg,2020,539,73992591285.0,630419,855
LUX,Luxembourg,2021,4,85506243834.0,640064,6
LUX,Luxembourg,2022,780,82274812251.0,650774,1199
LVA,Latvia,2017,3121,30483806018.0,1942248,1607
LVA,Latvia,2018,2785,34429023435.0,1927174,1445
LVA,Latvia,2019,1834,34343961073.0,1913822,958
LVA,Latvia,2020,240,34601740323.0,1900449,126
LVA,Latvia,2021,8,39725383601.0,1884490,4
LVA,Latvia,2022,530,41153912663.0,1883379,281
MAR,Morocco,2017,240,119000000000.0,35528115,7
MAR,Morocco,2018,242,127000000000.0,35927511,7
MAR,Morocco,2019,912,129000000000.0,36304408,25
MAR,Morocco,2020,186,121000000000.0,36688772,5
MAR,Morocco,2021,45,143000000000.0,37076584,1
MAR,Morocco,2022,232,134000000000.0,37457971,6
MDG,Madagascar,2017,368,13176313594.0,26169542,14
MDG,Madagascar,2018,298,13760033283.0,26846541,11
MDG,Madagascar,2019,451,14104664678.0,27533134,16
MDG,Madagascar,2020,43,13051441203.0,28225177,2
MDG,Madagascar,2021,565,14554754115.0,28915653,20
MDG,Madagascar,2022,566,14954967604.0,29611714,19
MDV,Maldives,2017,422,4754185599.0,472442,893
MDV,Maldives,2018,378,5300949823.0,489758,772
MDV,Maldives,2019,110,5609385434.0,504508,218
MDV,Maldives,2020,20,3746329358.0,514438,39
MDV,Maldives,2021,914,5405557162.0,521457,1753
MDV,Maldives,2022,163,6189865408.0,523787,311
MEX,Mexico,2017,6346,1160000000000.0,122839258,52
MEX,Mexico,2018,5667,1220000000000.0,124013861,46
MEX,Mexico,2019,6963,1270000000000.0,125085311,56
MEX,Mexico,2020,4799,1090000000000.0,125998302,38
MEX,Mexico,2021,960,1270000000000.0,126705138,8
MEX,Mexico,2022,10314,1410000000000.0,127504125,81
MKD,North Macedonia,2017,25,11307067001.0,2074502,12
MKD,North Macedonia,2018,270,12683068033.0,2076217,130
MKD,North Macedonia,2019,432,12606338449.0,2076694,208
MKD,North Macedonia,2020,239,12363580535.0,2072531,115
MKD,North Macedonia,2021,2,13825049832.0,2065092,1
MLI,Mali,2017,165,15365713059.0,19311355,9
