Country Code,Country Name,Year,Influenza Cases,Capital Health Expenditure
ISR,Israel,2018,180,0.24336965
JAM,Jamaica,2017,24,0.20040505
JAM,Jamaica,2018,64,0.10491358
JAM,Jamaica,2019,170,0.14401248
JAM,Jamaica,2020,24,0.16384427
KEN,Kenya,2017,1,0.56966931
KEN,Kenya,2018,4,0.52812511
KEN,Kenya,2019,4,0.49177325
KHM,Cambodia,2017,14,0.04164732
KHM,Cambodia,2018,15,0.03425035
KHM,Cambodia,2019,19,0.05146568
KWT,Kuwait,2017,1062,0.56796497
KWT,Kuwait,2018,447,0.60614449
KWT,Kuwait,2019,1486,0.43961766
KWT,Kuwait,2020,44,0.53813636
LKA,Sri Lanka,2017,110,0.33244002
LKA,Sri Lanka,2018,44,0.28150919
MAR,Morocco,2018,7,0.1642874
MDV,Maldives,2017,893,1.99034894
MDV,Maldives,2018,772,1.47087836
MDV,Maldives,2019,218,1.33045006
MDV,Maldives,2020,39,1.91248763
MEX,Mexico,2017,52,0.07024644
MEX,Mexico,2018,46,0.0847646
MEX,Mexico,2019,56,0.06371105
MEX,Mexico,2020,38,0.13521963
MKD,North Macedonia,2017,12,0.21409726
MKD,North Macedonia,2018,130,0.0735982
MKD,North Macedonia,2019,208,0.1369745
MKD,North Macedonia,2020,115,0.10123245
MLI,Mali,2017,9,0.18864344
MLI,Mali,2018,7,0.04446506
MLT,Malta,2017,1079,0.18261051
MLT,Malta,2018,1816,0.24581198
MLT,Malta,2019,1662,0.19694456
MLT,Malta,2020,724,0.23597118
MMR,Myanmar,2017,8,0.39614236
MMR,Myanmar,2018,2,0.29075888
MMR,Myanmar,2019,15,0.26500329
MMR,Myanmar,2020,0,0.24464553
MNE,Montenegro,2017,6,0.06722493
MNE,Montenegro,2018,427,0.07806133
MNE,Montenegro,2019,817,0.08887094
MNE,Montenegro,2020,802,0.17612064
MNG,Mongolia,2017,172,0.45265353
MNG,Mongolia,2018,96,0.33838451
MNG,Mongolia,2019,281,0.4125585
MNG,Mongolia,2020,298,0.36802548
MOZ,Mozambique,2019,3,0.63825524
MOZ,Mozambique,2020,1,0.80805409
MRT,Mauritania,2017,2,0.32609522
MYS,Malaysia,2017,21,0.1416183
MYS,Malaysia,2018,15,0.15591599
MYS,Malaysia,2019,36,0.17471758
