Country Code,Country Name,Year,Cases,GDP
CHL,Chile,2018,3697,295000000000.0
CHL,Chile,2019,6539,278000000000.0
CHL,Chile,2020,272,254000000000.0
CHL,Chile,2021,77,317000000000.0
CHL,Chile,2022,13139,301000000000.0
CHN,China,2017,71429,12300000000000.0
CHN,China,2018,57323,13900000000000.0
CHN,China,2019,98542,14300000000000.0
CHN,China,2020,25572,14700000000000.0
CHN,China,2021,26100,17800000000000.0
CHN,China,2022,56339,18000000000000.0
CMR,Cameroon,2017,447,36098547059.0
CMR,Cameroon,2018,319,39973842059.0
CMR,Cameroon,2019,332,39670976440.0
CMR,Cameroon,2020,63,40773241212.0
CMR,Cameroon,2021,224,45338285386.0
CMR,Cameroon,2022,118,44341646509.0
COL,Colombia,2017,808,312000000000.0
COL,Colombia,2018,1425,334000000000.0
COL,Colombia,2019,1316,323000000000.0
COL,Colombia,2020,467,270000000000.0
COL,Colombia,2021,21,319000000000.0
COL,Colombia,2022,538,344000000000.0
CRI,Costa Rica,2017,591,60516044623.0
CRI,Costa Rica,2018,170,62420164965.0
CRI,Costa Rica,2019,505,64417670556.0
CRI,Costa Rica,2020,56,62395610764.0
CRI,Costa Rica,2021,0,64616482168.0
CRI,Costa Rica,2022,302,68380838316.0
CUB,Cuba,2017,145,96851000000.0
CUB,Cuba,2018,238,100000000000.0
CUB,Cuba,2019,463,103000000000.0
CUB,Cuba,2020,174,107000000000.0
CUB,Cuba,2021,0,545000000000.0
CYM,Cayman Islands,2017,2,5166281293.0
CYM,Cayman Islands,2018,5,5530178499.0
CYM,Cayman Islands,2020,13,5647224973.0
CYM,Cayman Islands,2021,0,6028373541.0
CYP,Cyprus,2017,151,22946583376.0
CYP,Cyprus,2018,150,25597301191.0
CYP,Cyprus,2019,628,25945194240.0
CZE,Czechia,2017,368,219000000000.0
CZE,Czechia,2018,575,249000000000.0
CZE,Czechia,2019,276,253000000000.0
CZE,Czechia,2020,295,246000000000.0
CZE,Czechia,2021,49,282000000000.0
CZE,Czechia,2022,2586,291000000000.0
DEU,Germany,2017,1478,3690000000000.0
DEU,Germany,2018,2334,3970000000000.0
DEU,Germany,2019,1215,3890000000000.0
DEU,Germany,2020,958,3890000000000.0
DEU,Germany,2021,29,4260000000000.0
DEU,Germany,2022,1923,4070000000000.0
DMA,Dominica,2017,0,521551851.9
DMA,Dominica,2018,14,554770370.4
DMA,Dominica,2019,4,611537037.0
DMA,Dominica,2020,13,504214814.8
DMA,Dominica,2021,0,555266666.7
DMA,Dominica,2022,0,612048148.1
DNK,Denmark,2017,4644,332000000000.0
DNK,Denmark,2018,17120,357000000000.0
DNK,Denmark,2019,11835,346000000000.0
DNK,Denmark,2020,6580,355000000000.0
DNK,Denmark,2021,360,398000000000.0
DNK,Denmark,2022,21111,395000000000.0
DOM,Dominican Republic,2017,63,79998045976.0
DOM,Dominican Republic,2018,203,85555390386.0
DOM,Dominican Republic,2019,90,88941371980.0
DOM,Dominican Republic,2020,75,78844655833.0
DOM,Dominican Republic,2021,28,94243426487.0
DOM,Dominican Republic,2022,130,114000000000.0
DZA,Algeria,2017,134,170000000000.0
DZA,Algeria,2018,310,175000000000.0
DZA,Algeria,2019,33,172000000000.0
DZA,Algeria,2020,134,146000000000.0
DZA,Algeria,2021,72,163000000000.0
DZA,Algeria,2022,165,192000000000.0
ECU,Ecuador,2017,505,104000000000.0
ECU,Ecuador,2018,778,108000000000.0
ECU,Ecuador,2019,615,108000000000.0
ECU,Ecuador,2020,82,99291124000.0
ECU,Ecuador,2021,17,106000000000.0
ECU,Ecuador,2022,478,115000000000.0
ESP,Spain,2017,12765,1310000000000.0
ESP,Spain,2018,19973,1420000000000.0
ESP,Spain,2019,17228,1390000000000.0
ESP,Spain,2020,8827,1280000000000.0
ESP,Spain,2021,2206,1430000000000.0
ESP,Spain,2022,18099,1400000000000.0
EST,Estonia,2017,1149,26924385103.0
EST,Estonia,2018,2719,30624720196.0
EST,Estonia,2019,2233,31081901909.0
EST,Estonia,2020,473,31370395573.0
EST,Estonia,2021,39,37191166152.0
EST,Estonia,2022,814,38100812959.0
ETH,Ethiopia,2017,117,81770886909.0
ETH,Ethiopia,2018,203,84269196152.0
ETH,Ethiopia,2019,214,95912607970.0
ETH,Ethiopia,2021,326,111000000000.0
ETH,Ethiopia,2022,649,127000000000.0
FIN,Finland,2017,138,256000000000.0
FIN,Finland,2018,268,276000000000.0
FIN,Finland,2019,196,269000000000.0
FIN,Finland,2020,69,272000000000.0
FIN,Finland,2021,29,296000000000.0
FIN,Finland,2022,280,281000000000.0
FJI,Fiji,2017,108,5353468388.0
FJI,Fiji,2018,102,5581425891.0
FJI,Fiji,2019,185,5481692622.0
FJI,Fiji,2020,30,4477030180.0
FJI,Fiji,2021,0,4296235428.0
FJI,Fiji,2022,229,4943248200.0
FRA,France,2017,15657,2600000000000.0
FRA,France,2018,21610,2790000000000.0
FRA,France,2019,25405,2730000000000.0
FRA,France,2020,16589,2640000000000.0
FRA,France,2021,3071,2960000000000.0
FRA,France,2022,40148,2780000000000.0
GAB,Gabon,2022,28,21071739228.0
GEO,Georgia,2017,78,16242647230.0
GEO,Georgia,2018,111,17596922470.0
GEO,Georgia,2019,189,17470436259.0
GEO,Georgia,2020,57,15842922533.0
GEO,Georgia,2021,12,18629365612.0
GEO,Georgia,2022,459,24605375420.0
GHA,Ghana,2017,469,60405920071.0
GHA,Ghana,2018,742,67298913752.0
GHA,Ghana,2019,1172,68337974419.0
GHA,Ghana,2020,60,70043095503.0
GHA,Ghana,2021,395,79156409410.0
GHA,Ghana,2022,1518,72838798788.0
GIN,Guinea,2018,63,11857030366.0
GIN,Guinea,2019,135,13442861497.0
GIN,Guinea,2020,26,14177835841.0
GIN,Guinea,2021,101,16091817842.0
GIN,Guinea,2022,40,21227749389.0
GRC,Greece,2017,756,200000000000.0
GRC,Greece,2018,434,212000000000.0
GRC,Greece,2019,822,205000000000.0
GRC,Greece,2020,602,189000000000.0
GRC,Greece,2021,0,215000000000.0
GRC,Greece,2022,221,219000000000.0
GRD,Grenada,2020,5,1043411111.0
GRD,Grenada,2021,0,1122800000.0
GRD,Grenada,2022,0,1256413185.0
GTM,Guatemala,2017,228,71653756504.0
GTM,Guatemala,2018,322,73328369926.0
GTM,Guatemala,2019,313,77172313916.0
GTM,Guatemala,2020,122,77715183063.0
GTM,Guatemala,2021,10,86053079767.0
GTM,Guatemala,2022,277,95003333381.0
GUY,Guyana,2018,0,4787637006.0
HND,Honduras,2017,62,23136248046.0
HND,Honduras,2018,322,24067750466.0
HND,Honduras,2019,275,25089937109.0
HND,Honduras,2020,81,23827859695.0
HND,Honduras,2021,58,28488721296.0
HND,Honduras,2022,206,31717700115.0
HRV,Croatia,2017,1796,55937483558.0
HRV,Croatia,2018,2597,61330483610.0
HRV,Croatia,2019,4823,61329267533.0
HRV,Croatia,2020,282,57624938982.0
HRV,Croatia,2021,193,68843674641.0
HRV,Croatia,2022,3023,70964606465.0
HTI,Haiti,2017,111,15093357143.0
HTI,Haiti,2018,340,16403864521.0
HTI,Haiti,2019,358,15016090930.0
HTI,Haiti,2020,94,14508222518.0
HTI,Haiti,2021,174,20877414952.0
HTI,Haiti,2022,301,20253551885.0
HUN,Hungary,2017,903,143000000000.0
HUN,Hungary,2018,622,161000000000.0
HUN,Hungary,2019,555,164000000000.0
HUN,Hungary,2020,1064,157000000000.0
HUN,Hungary,2021,3,182000000000.0
HUN,Hungary,2022,856,179000000000.0
IDN,Indonesia,2017,1045,1020000000000.0
IDN,Indonesia,2018,710,1040000000000.0
IDN,Indonesia,2019,496,1120000000000.0
IDN,Indonesia,2020,826,1060000000000.0
IDN,Indonesia,2021,47,1190000000000.0
IDN,Indonesia,2022,245,1320000000000.0
IND,India,2017,2587,2650000000000.0
IND,India,2018,1880,2700000000000.0
IND,India,2019,10428,2840000000000.0
IND,India,2020,655,2670000000000.0
IND,India,2021,4789,3150000000000.0
IND,India,2022,1421,3390000000000.0
IRL,Ireland,2017,1779,336000000000.0
IRL,Ireland,2018,4984,386000000000.0
IRL,Ireland,2019,4201,399000000000.0
IRL,Ireland,2020,1363,426000000000.0
IRL,Ireland,2021,17,504000000000.0
IRL,Ireland,2022,1774,529000000000.0
IRQ,Iraq,2017,40,187000000000.0
IRQ,Iraq,2018,293,227000000000.0
IRQ,Iraq,2019,400,234000000000.0
IRQ,Iraq,2020,305,181000000000.0
IRQ,Iraq,2021,98,208000000000.0
IRQ,Iraq,2022,496,264000000000.0
ISL,Iceland,2017,654,24728285177.0
ISL,Iceland,2018,598,26260850582.0
ISL,Iceland,2019,388,24663643102.0
ISL,Iceland,2020,364,21553080484.0
ISL,Iceland,2021,4,25552639899.0
ISL,Iceland,2022,1171,27841648044.0
ISR,Israel,2017,1145,358000000000.0
ISR,Israel,2018,1602,377000000000.0
ISR,Israel,2019,1796,402000000000.0
ISR,Israel,2020,1424,413000000000.0
ISR,Israel,2021,456,489000000000.0
ISR,Israel,2022,774,522000000000.0
ITA,Italy,2017,2796,1960000000000.0
ITA,Italy,2018,4913,2090000000000.0
ITA,Italy,2019,6361,2010000000000.0
ITA,Italy,2020,7485,1900000000000.0
ITA,Italy,2021,31,2110000000000.0
